,Name,Wins,Losses,Draws,Height,Weight,Reach,Stance,Age,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
2155,Jake Shields,31,9,1,182.9,170,72,1,47,2.45,36,1.80,56,2.83,29,35,1.2
2156,Henrique Shiguemoto,13,4,1,180.3,185,72,1,37,3.60,33,6.00,16,0.00,0,50,0.0
2157,Liudvik Sholinian,9,4,1,177.8,135,71,1,36,2.50,30,5.67,55,0.00,0,66,0.0
2158,Jack Shore,17,3,0,172.7,145,71,1,31,3.60,58,2.31,56,3.22,39,74,0.6
2159,Ivan Shtyrkov,15,0,1,182.9,205,74,1,38,0.00,0,0.00,0,0.00,0,0,0.0
2160,Ronal Siahaan,7,1,0,170.2,125,71,2,30,0.63,66,6.17,25,0.00,0,25,0.0
2161,Sam Sicilia,15,8,0,172.7,145,67,1,40,2.46,33,3.55,59,1.45,43,70,0.9
2162,Serhiy Sidey,12,2,0,180.3,135,72,3,30,4.49,39,4.26,54,1.58,25,20,1.3
2163,Steven Siler,29,16,0,180.3,145,70,1,39,3.21,41,2.96,54,0.47,21,55,1.6
2164,Anderson Silva,34,11,0,188.0,185,77,2,51,3.05,61,2.05,60,0.50,77,69,0.8
2165,Wanderlei Silva,35,13,1,180.3,205,74,1,50,2.79,40,2.19,60,0.97,53,62,0.6
2166,Thiago Silva,19,6,0,188.0,205,74,1,43,3.92,50,2.55,67,1.03,47,70,0.7
